date,category,value,source,month,year,mom_change,yoy_change,ma_3m,ma_12m,above_3m_ma,above_12m_ma,momentum_3m,momentum_6m
2021-03-01,Equipment Investment Index,109.1,ECOS,3,2021,2.1535580524344455,9.099999999999998,109.19999999999999,103.09166666666668,0,1,-0.011904761904762029,0.027969348659003773
2021-04-01,Equipment Investment Index,118.2,ECOS,4,2021,8.340971585701196,17.964071856287433,111.36666666666667,104.59166666666668,1,1,0.05118228075426501,0.027625937245761744
2021-05-01,Equipment Investment Index,107.4,ECOS,5,2021,-9.137055837563446,11.410788381742742,111.56666666666666,105.50833333333333,0,1,-0.007618763071407314,0.008277298164938622
2021-06-01,Equipment Investment Index,114.8,ECOS,6,2021,6.890130353817492,13.888888888888884,113.46666666666668,106.67500000000001,1,1,-0.014982373678025792,0.0067750213857998886
2021-07-01,Equipment Investment Index,118.6,ECOS,7,2021,3.310104529616731,15.145631067961162,113.60000000000001,107.97500000000001,1,1,0.04929577464788725,0.016586584255868578
2021-08-01,Equipment Investment Index,109.8,ECOS,8,2021,-7.4198988195615545,13.900414937759331,114.39999999999999,109.09166666666665,0,1,-0.02185314685314687,0.0030598697658736147
2021-09-01,Equipment Investment Index,104.3,ECOS,9,2021,-5.009107468123863,-8.428446005267787,110.89999999999999,108.29166666666667,0,0,-0.06447249774571678,-0.01489908101110002
2021-10-01,Equipment Investment Index,98.9,ECOS,10,2021,-5.177372962607851,4.214963119072701,104.33333333333333,108.625,0,0,-0.052236421725239596,-0.021710440064676827
2021-11-01,Equipment Investment Index,109.5,ECOS,11,2021,10.717896865520714,11.16751269035532,104.23333333333333,109.54166666666667,1,0,0.024944035817077007,-0.0238102498203124
2021-12-01,Equipment Investment Index,111.1,ECOS,12,2021,1.4611872146118587,5.407969639468679,106.5,110.01666666666665,1,1,0.057276995305164294,-0.011512682349848929
2022-01-01,Equipment Investment Index,116.1,ECOS,1,2022,4.5004500450045,3.93912264995524,112.23333333333333,110.38333333333334,1,1,0.029403029403029385,0.016491127773257987
2022-02-01,Equipment Investment Index,107.2,ECOS,2,2022,-7.665805340223941,0.3745318352059934,111.46666666666665,110.41666666666667,0,0,-0.017494019138755968,0.017934962580303346
2022-03-01,Equipment Investment Index,104.5,ECOS,3,2022,-2.518656716417911,-4.216315307057739,109.26666666666665,110.03333333333335,0,0,-0.05308114704087868,0.006912228818609118
2022-04-01,Equipment Investment Index,103.8,ECOS,4,2022,-0.6698564593301426,-12.182741116751272,105.16666666666667,108.83333333333333,0,0,-0.01616481774960397,-0.015034827178341412
2022-05-01,Equipment Investment Index,114.2,ECOS,5,2022,10.019267822736033,6.331471135940414,107.5,109.40000000000002,1,1,0.04511627906976743,-0.006289280821173097
2022-06-01,Equipment Investment Index,112.7,ECOS,6,2022,-1.3134851138353776,-1.8292682926829174,110.23333333333333,109.22499999999998,1,1,0.0403689144239492,0.0008590953465668246
2022-07-01,Equipment Investment Index,115.1,ECOS,7,2022,2.129547471162363,-2.95109612141653,114.0,108.93333333333334,1,1,0.003947368421052625,0.01942422596414993
2022-08-01,Equipment Investment Index,122.9,ECOS,8,2022,6.776715899218089,11.93078324225867,116.89999999999999,110.02499999999999,1,1,0.043627031650983625,0.03167812579577284
2022-09-01,Equipment Investment Index,112.6,ECOS,9,2022,-8.380797396257133,7.957813998082441,116.86666666666667,110.71666666666668,0,1,-0.01069594980034227,0.018242435679687932
2022-10-01,Equipment Investment Index,122.1,ECOS,10,2022,8.436944937833047,23.458038422649132,119.19999999999999,112.64999999999999,1,1,-0.0033557046979866448,0.011516785101690808
