date,region,country,value,unit,sector,source
2024-02-01,America,Mexico,56275.0,thousand USD,energy,PETRONET
2024-02-01,America,Mexico,72.89,USD/bbl,energy,PETRONET
2024-02-01,America,United States,13624.0,thousand bbl,energy,PETRONET
2024-02-01,America,United States,1135342.0,thousand USD,energy,PETRONET
2024-02-01,America,United States,83.33,USD/bbl,energy,PETRONET
2024-02-01,Asia,Asia,5.16,percentage,energy,PETRONET
2024-02-01,Asia,Asia,4556.0,thousand bbl,energy,PETRONET
2024-02-01,Asia,Asia,381042.0,thousand USD,energy,PETRONET
2024-02-01,Asia,Asia,47.62714285714286,USD/bbl,energy,PETRONET
2024-02-01,Asia,Australia,3252.0,thousand bbl,energy,PETRONET
2024-02-01,Asia,Australia,273940.0,thousand USD,energy,PETRONET
2024-02-01,Asia,Australia,84.24,USD/bbl,energy,PETRONET
2024-02-01,Asia,Indonesia,215.0,thousand bbl,energy,PETRONET
2024-02-01,Asia,Indonesia,18916.0,thousand USD,energy,PETRONET
2024-02-01,Asia,Indonesia,87.88,USD/bbl,energy,PETRONET
2024-02-01,Asia,Kazakhstan,0.0,thousand bbl,energy,PETRONET
2024-02-01,Asia,Kazakhstan,0.0,thousand USD,energy,PETRONET
2024-02-01,Asia,Kazakhstan,0.0,USD/bbl,energy,PETRONET
2024-02-01,Asia,Malaysia,0.0,thousand bbl,energy,PETRONET
2024-02-01,Asia,Malaysia,0.0,thousand USD,energy,PETRONET
2024-02-01,Asia,Malaysia,0.0,USD/bbl,energy,PETRONET
2024-02-01,Asia,New Zealand,615.0,thousand bbl,energy,PETRONET
2024-02-01,Asia,New Zealand,51401.0,thousand USD,energy,PETRONET
2024-02-01,Asia,New Zealand,83.6,USD/bbl,energy,PETRONET
2024-02-01,Asia,Papua New Guinea,0.0,thousand bbl,energy,PETRONET
2024-02-01,Asia,Papua New Guinea,0.0,thousand USD,energy,PETRONET
2024-02-01,Asia,Papua New Guinea,0.0,USD/bbl,energy,PETRONET
2024-02-01,Asia,Philippines,474.0,thousand bbl,energy,PETRONET
2024-02-01,Asia,Philippines,36785.0,thousand USD,energy,PETRONET
2024-02-01,Asia,Philippines,77.67,USD/bbl,energy,PETRONET
2024-02-01,Europe,Europe,4.2,percentage,energy,PETRONET
2024-02-01,Europe,Europe,3760.0,thousand bbl,energy,PETRONET
