date,indicator,value,unit,source
2003-01-01,Leading Index,100.1,index,ECOS
2003-01-01,Leading–Coincident Spread,-1.1000000000000083,index,ECOS
2003-02-01,KOSPI,575.4299926757812,index,ECOS
2003-02-01,Coincident Index,100.7,index,ECOS
2003-02-01,Leading Index,99.9,index,ECOS
2003-02-01,Leading–Coincident Spread,-0.7999999999999972,index,ECOS
2003-03-01,KOSPI,535.7000122070312,index,ECOS
2003-03-01,Coincident Index,100.4,index,ECOS
2003-03-01,Leading Index,99.6,index,ECOS
2003-03-01,Leading–Coincident Spread,-0.8000000000000114,index,ECOS
2003-04-01,KOSPI,599.3499755859375,index,ECOS
2003-04-01,Coincident Index,99.8,index,ECOS
2003-04-01,Leading Index,99.2,index,ECOS
2003-04-01,Leading–Coincident Spread,-0.5999999999999943,index,ECOS
2003-05-01,KOSPI,633.4199829101562,index,ECOS
2003-05-01,Coincident Index,99.7,index,ECOS
2003-05-01,Leading Index,99.0,index,ECOS
2003-05-01,Leading–Coincident Spread,-0.7000000000000028,index,ECOS
2003-06-01,KOSPI,669.9299926757812,index,ECOS
2003-06-01,Coincident Index,99.8,index,ECOS
2003-06-01,Leading Index,99.3,index,ECOS
2003-06-01,Leading–Coincident Spread,-0.5,index,ECOS
2003-07-01,KOSPI,713.52001953125,index,ECOS
2003-07-01,Coincident Index,99.7,index,ECOS
2003-07-01,Leading Index,99.3,index,ECOS
2003-07-01,Leading–Coincident Spread,-0.4000000000000057,index,ECOS
2003-08-01,KOSPI,759.469970703125,index,ECOS
2003-08-01,Coincident Index,99.8,index,ECOS
2003-08-01,Leading Index,99.7,index,ECOS
2003-08-01,Leading–Coincident Spread,-0.0999999999999943,index,ECOS
2003-09-01,KOSPI,697.52001953125,index,ECOS
2003-09-01,Coincident Index,99.8,index,ECOS
2003-09-01,Leading Index,99.9,index,ECOS
2003-09-01,Leading–Coincident Spread,0.1000000000000085,index,ECOS
2003-10-01,KOSPI,782.3599853515625,index,ECOS
2003-10-01,Coincident Index,100.2,index,ECOS
2003-10-01,Leading Index,100.4,index,ECOS
2003-10-01,Leading–Coincident Spread,0.2000000000000028,index,ECOS
2003-11-01,KOSPI,796.1799926757812,index,ECOS
2003-11-01,Coincident Index,100.3,index,ECOS
2003-11-01,Leading Index,100.4,index,ECOS
2003-11-01,Leading–Coincident Spread,0.1000000000000085,index,ECOS
2003-12-01,KOSPI,810.7100219726562,index,ECOS
2003-12-01,Coincident Index,100.6,index,ECOS
2003-12-01,Leading Index,100.5,index,ECOS
2003-12-01,Leading–Coincident Spread,-0.0999999999999943,index,ECOS
2004-01-01,KOSPI,848.5,index,ECOS
2004-01-01,Coincident Index,100.9,index,ECOS
2004-01-01,Leading Index,100.7,index,ECOS
2004-01-01,Leading–Coincident Spread,-0.2000000000000028,index,ECOS
2004-02-01,KOSPI,883.4199829101562,index,ECOS
2004-02-01,Coincident Index,101.4,index,ECOS
2004-02-01,Leading Index,101.0,index,ECOS
2004-02-01,Leading–Coincident Spread,-0.4000000000000057,index,ECOS
2004-03-01,KOSPI,880.5,index,ECOS
2004-03-01,Coincident Index,101.6,index,ECOS
2004-03-01,Leading Index,101.1,index,ECOS
2004-03-01,Leading–Coincident Spread,-0.5,index,ECOS
2004-04-01,KOSPI,862.8400268554688,index,ECOS
2004-04-01,Coincident Index,101.6,index,ECOS
2004-04-01,Leading Index,101.2,index,ECOS
2004-04-01,Leading–Coincident Spread,-0.3999999999999915,index,ECOS
2004-05-01,KOSPI,803.8400268554688,index,ECOS
2004-05-01,Coincident Index,101.2,index,ECOS
2004-05-01,Leading Index,100.8,index,ECOS
2004-05-01,Leading–Coincident Spread,-0.4000000000000057,index,ECOS
2004-06-01,KOSPI,785.7899780273438,index,ECOS
2004-06-01,Coincident Index,101.0,index,ECOS
2004-06-01,Leading Index,100.5,index,ECOS
2004-06-01,Leading–Coincident Spread,-0.5,index,ECOS
2004-07-01,KOSPI,735.3400268554688,index,ECOS
2004-07-01,Coincident Index,100.5,index,ECOS
2004-07-01,Leading Index,100.1,index,ECOS
2004-07-01,Leading–Coincident Spread,-0.4000000000000057,index,ECOS
2004-08-01,KOSPI,803.5700073242188,index,ECOS
2004-08-01,Coincident Index,100.1,index,ECOS
2004-08-01,Leading Index,99.8,index,ECOS
2004-08-01,Leading–Coincident Spread,-0.2999999999999971,index,ECOS
2004-09-01,KOSPI,835.0900268554688,index,ECOS
2004-09-01,Coincident Index,99.9,index,ECOS
2004-09-01,Leading Index,99.8,index,ECOS
2004-09-01,Leading–Coincident Spread,-0.1000000000000085,index,ECOS
2004-10-01,KOSPI,834.8400268554688,index,ECOS
2004-10-01,Coincident Index,99.9,index,ECOS
2004-10-01,Leading Index,99.8,index,ECOS
2004-10-01,Leading–Coincident Spread,-0.1000000000000085,index,ECOS
2004-11-01,KOSPI,878.0599975585938,index,ECOS
2004-11-01,Coincident Index,99.7,index,ECOS
2004-11-01,Leading Index,99.6,index,ECOS
2004-11-01,Leading–Coincident Spread,-0.1000000000000085,index,ECOS
2004-12-01,KOSPI,895.9199829101562,index,ECOS
2004-12-01,Coincident Index,99.3,index,ECOS
2004-12-01,Leading Index,99.5,index,ECOS
2004-12-01,Leading–Coincident Spread,0.2000000000000028,index,ECOS
2005-01-01,KOSPI,932.7000122070312,index,ECOS
2005-01-01,Coincident Index,99.1,index,ECOS
2005-01-01,Leading Index,99.3,index,ECOS
2005-01-01,Leading–Coincident Spread,0.2000000000000028,index,ECOS
2005-02-01,KOSPI,1011.3599853515624,index,ECOS
2005-02-01,Coincident Index,98.9,index,ECOS
2005-02-01,Leading Index,99.6,index,ECOS
2005-02-01,Leading–Coincident Spread,0.6999999999999886,index,ECOS
2005-03-01,KOSPI,965.6799926757812,index,ECOS
2005-03-01,Coincident Index,99.0,index,ECOS
2005-03-01,Leading Index,100.1,index,ECOS
2005-03-01,Leading–Coincident Spread,1.0999999999999943,index,ECOS
2005-04-01,KOSPI,911.2999877929688,index,ECOS
2005-04-01,Coincident Index,98.8,index,ECOS
2005-04-01,Leading Index,100.2,index,ECOS
2005-04-01,Leading–Coincident Spread,1.4000000000000057,index,ECOS
2005-05-01,KOSPI,970.2100219726562,index,ECOS
2005-05-01,Coincident Index,98.8,index,ECOS
2005-05-01,Leading Index,99.9,index,ECOS
2005-05-01,Leading–Coincident Spread,1.1000000000000083,index,ECOS
2005-06-01,KOSPI,1008.1599731445312,index,ECOS
2005-06-01,Coincident Index,98.7,index,ECOS
2005-06-01,Leading Index,99.5,index,ECOS
2005-06-01,Leading–Coincident Spread,0.7999999999999972,index,ECOS
2005-07-01,KOSPI,1111.2900390625,index,ECOS
2005-07-01,Coincident Index,98.6,index,ECOS
2005-07-01,Leading Index,99.6,index,ECOS
2005-07-01,Leading–Coincident Spread,1.0,index,ECOS
2005-08-01,KOSPI,1083.3299560546875,index,ECOS
2005-08-01,Coincident Index,98.6,index,ECOS
2005-08-01,Leading Index,99.8,index,ECOS
2005-08-01,Leading–Coincident Spread,1.2000000000000028,index,ECOS
2005-09-01,KOSPI,1221.010009765625,index,ECOS
2005-09-01,Coincident Index,98.5,index,ECOS
2005-09-01,Leading Index,99.9,index,ECOS
2005-09-01,Leading–Coincident Spread,1.4000000000000057,index,ECOS
2005-10-01,KOSPI,1158.1099853515625,index,ECOS
2005-10-01,Coincident Index,98.5,index,ECOS
2005-10-01,Leading Index,99.9,index,ECOS
2005-10-01,Leading–Coincident Spread,1.4000000000000057,index,ECOS
2005-11-01,KOSPI,1297.43994140625,index,ECOS
2005-11-01,Coincident Index,99.1,index,ECOS
2005-11-01,Leading Index,100.1,index,ECOS
2005-11-01,Leading–Coincident Spread,1.0,index,ECOS
2005-12-01,KOSPI,1379.3699951171875,index,ECOS
2005-12-01,Coincident Index,99.5,index,ECOS
2005-12-01,Leading Index,100.5,index,ECOS
2005-12-01,Leading–Coincident Spread,1.0,index,ECOS
2006-01-01,KOSPI,1399.8299560546875,index,ECOS
2006-01-01,Coincident Index,99.8,index,ECOS
2006-01-01,Leading Index,100.9,index,ECOS
2006-01-01,Leading–Coincident Spread,1.1000000000000083,index,ECOS
2006-02-01,KOSPI,1371.5899658203125,index,ECOS
2006-02-01,Coincident Index,99.7,index,ECOS
2006-02-01,Leading Index,101.0,index,ECOS
2006-02-01,Leading–Coincident Spread,1.2999999999999972,index,ECOS
2006-03-01,KOSPI,1359.5999755859375,index,ECOS
2006-03-01,Coincident Index,99.9,index,ECOS
2006-03-01,Leading Index,100.8,index,ECOS
2006-03-01,Leading–Coincident Spread,0.8999999999999915,index,ECOS
2006-04-01,KOSPI,1419.72998046875,index,ECOS
2006-04-01,Coincident Index,99.9,index,ECOS
2006-04-01,Leading Index,100.6,index,ECOS
2006-04-01,Leading–Coincident Spread,0.6999999999999886,index,ECOS
2006-05-01,KOSPI,1317.699951171875,index,ECOS
2006-05-01,Coincident Index,100.0,index,ECOS
2006-05-01,Leading Index,100.5,index,ECOS
2006-05-01,Leading–Coincident Spread,0.5,index,ECOS
2006-06-01,KOSPI,1295.1500244140625,index,ECOS
2006-06-01,Coincident Index,99.8,index,ECOS
2006-06-01,Leading Index,100.1,index,ECOS
2006-06-01,Leading–Coincident Spread,0.2999999999999971,index,ECOS
2006-07-01,KOSPI,1297.8199462890625,index,ECOS
2006-07-01,Coincident Index,99.1,index,ECOS
2006-07-01,Leading Index,99.5,index,ECOS
2006-07-01,Leading–Coincident Spread,0.4000000000000057,index,ECOS
2006-08-01,KOSPI,1352.739990234375,index,ECOS
2006-08-01,Coincident Index,99.0,index,ECOS
2006-08-01,Leading Index,99.0,index,ECOS
2006-08-01,Leading–Coincident Spread,0.0,index,ECOS
2006-09-01,KOSPI,1371.4100341796875,index,ECOS
2006-09-01,Coincident Index,99.4,index,ECOS
2006-09-01,Leading Index,99.3,index,ECOS
2006-09-01,Leading–Coincident Spread,-0.1000000000000085,index,ECOS
2006-10-01,KOSPI,1364.550048828125,index,ECOS
2006-10-01,Coincident Index,100.3,index,ECOS
2006-10-01,Leading Index,99.7,index,ECOS
2006-10-01,Leading–Coincident Spread,-0.5999999999999943,index,ECOS
2006-11-01,KOSPI,1432.2099609375,index,ECOS
2006-11-01,Coincident Index,100.8,index,ECOS
2006-11-01,Leading Index,100.0,index,ECOS
2006-11-01,Leading–Coincident Spread,-0.7999999999999972,index,ECOS
2006-12-01,KOSPI,1434.4599609375,index,ECOS
2006-12-01,Coincident Index,100.9,index,ECOS
2006-12-01,Leading Index,99.9,index,ECOS
2006-12-01,Leading–Coincident Spread,-1.0,index,ECOS
2007-01-01,KOSPI,1360.22998046875,index,ECOS
2007-01-01,Coincident Index,100.9,index,ECOS
2007-01-01,Leading Index,100.0,index,ECOS
2007-01-01,Leading–Coincident Spread,-0.9000000000000057,index,ECOS
2007-02-01,KOSPI,1417.3399658203125,index,ECOS
2007-02-01,Coincident Index,101.0,index,ECOS
2007-02-01,Leading Index,100.2,index,ECOS
2007-02-01,Leading–Coincident Spread,-0.7999999999999972,index,ECOS
2007-03-01,KOSPI,1452.550048828125,index,ECOS
2007-03-01,Coincident Index,101.1,index,ECOS
2007-03-01,Leading Index,100.3,index,ECOS
2007-03-01,Leading–Coincident Spread,-0.7999999999999972,index,ECOS
2007-04-01,KOSPI,1542.239990234375,index,ECOS
2007-04-01,Coincident Index,101.3,index,ECOS
2007-04-01,Leading Index,100.4,index,ECOS
2007-04-01,Leading–Coincident Spread,-0.8999999999999915,index,ECOS
2007-05-01,KOSPI,1700.9100341796875,index,ECOS
2007-05-01,Coincident Index,101.4,index,ECOS
2007-05-01,Leading Index,100.6,index,ECOS
2007-05-01,Leading–Coincident Spread,-0.8000000000000114,index,ECOS
2007-06-01,KOSPI,1743.5999755859375,index,ECOS
2007-06-01,Coincident Index,101.3,index,ECOS
2007-06-01,Leading Index,101.0,index,ECOS
2007-06-01,Leading–Coincident Spread,-0.2999999999999971,index,ECOS
2007-07-01,KOSPI,1933.27001953125,index,ECOS
2007-07-01,Coincident Index,101.4,index,ECOS
2007-07-01,Leading Index,101.4,index,ECOS
2007-07-01,Leading–Coincident Spread,0.0,index,ECOS
2007-08-01,KOSPI,1873.239990234375,index,ECOS
