date,indicator,value,unit,source,trend_3m
2005-02-01,Leading–Coincident Spread,0.6999999999999886,index,ECOS,1.2499999999999472
2005-03-01,KOSPI,965.6799926757812,index,ECOS,0.01958443600610782
2005-03-01,Coincident Index,99.0,index,ECOS,-0.000503520562718629
2005-03-01,Leading Index,100.1,index,ECOS,0.004020614178769422
2005-03-01,Leading–Coincident Spread,1.0999999999999943,index,ECOS,1.5357142857142416
2005-04-01,KOSPI,911.2999877929688,index,ECOS,-0.0507397765099219
2005-04-01,Coincident Index,98.8,index,ECOS,-0.0005045398371991139
2005-04-01,Leading Index,100.2,index,ECOS,0.0030095406601431396
2005-04-01,Leading–Coincident Spread,1.4000000000000057,index,ECOS,0.4220779220779367
2005-05-01,KOSPI,970.2100219726562,index,ECOS,0.004165649010788863
2005-05-01,Coincident Index,98.8,index,ECOS,-0.0010101010101010166
2005-05-01,Leading Index,99.9,index,ECOS,-0.000997505488523398
2005-05-01,Leading–Coincident Spread,1.1000000000000083,index,ECOS,0.029220779220786475
2005-06-01,KOSPI,1008.1599731445312,index,ECOS,0.05187957276837918
2005-06-01,Coincident Index,98.7,index,ECOS,-0.0005060728744938903
2005-06-01,Leading Index,99.5,index,ECOS,-0.0034990079900259485
2005-06-01,Leading–Coincident Spread,0.7999999999999972,index,ECOS,-0.24350649350649617
2005-07-01,KOSPI,1111.2900390625,index,ECOS,0.0707052652899125
2005-07-01,Coincident Index,98.6,index,ECOS,-0.0010126584874625144
2005-07-01,Leading Index,99.6,index,ECOS,-0.0014994894391879288
2005-07-01,Leading–Coincident Spread,1.0,index,ECOS,-0.011363636363638185
2005-08-01,KOSPI,1083.3299560546875,index,ECOS,0.03856765782128413
2005-08-01,Coincident Index,98.6,index,ECOS,-0.0005065856129686241
2005-08-01,Leading Index,99.8,index,ECOS,0.0015065286270711242
2005-08-01,Leading–Coincident Spread,1.2000000000000028,index,ECOS,0.22500000000000364
2005-09-01,KOSPI,1221.010009765625,index,ECOS,0.05096482674515501
2005-09-01,Coincident Index,98.5,index,ECOS,-0.000507099391480692
2005-09-01,Leading Index,99.9,index,ECOS,0.0015050180682650849
2005-09-01,Leading–Coincident Spread,1.4000000000000057,index,ECOS,0.1833333333333358
2005-10-01,KOSPI,1158.1099853515625,index,ECOS,0.037787463678521815
2005-10-01,Coincident Index,98.5,index,ECOS,-0.000507099391480692
2005-10-01,Leading Index,99.9,index,ECOS,0.0005010020040080443
2005-10-01,Leading–Coincident Spread,1.4000000000000057,index,ECOS,0.08333333333333437
2005-11-01,KOSPI,1297.43994140625,index,ECOS,0.0343966512810544
2005-11-01,Coincident Index,99.1,index,ECOS,0.003045685279187804
2005-11-01,Leading Index,100.1,index,ECOS,0.0010010010010009784
