date,currency,quote,exchange_rate,unit,source,pair
2002-08-01,EUR,KRW,1170.0,원,ECOS,EUR/KRW
2002-08-01,EUR,USD,0.978,달러,ECOS,EUR/USD
2002-08-01,JPY,KRW,1004.44,원,ECOS,JPY/KRW
2002-08-01,USD,KRW,1196.37,원,ECOS,USD/KRW
2002-09-01,EUR,KRW,1184.33,원,ECOS,EUR/KRW
2002-09-01,EUR,USD,0.98,달러,ECOS,EUR/USD
2002-09-01,JPY,KRW,1001.56,원,ECOS,JPY/KRW
2002-09-01,USD,KRW,1208.5,원,ECOS,USD/KRW
2002-10-01,EUR,KRW,1217.23,원,ECOS,EUR/KRW
2002-10-01,EUR,USD,0.9807,달러,ECOS,EUR/USD
2002-10-01,JPY,KRW,1001.05,원,ECOS,JPY/KRW
2002-10-01,USD,KRW,1241.13,원,ECOS,USD/KRW
2002-11-01,EUR,KRW,1214.16,원,ECOS,EUR/KRW
2002-11-01,EUR,USD,1.0019,달러,ECOS,EUR/USD
2002-11-01,JPY,KRW,997.21,원,ECOS,JPY/KRW
2002-11-01,USD,KRW,1211.91,원,ECOS,USD/KRW
2002-12-01,EUR,KRW,1232.05,원,ECOS,EUR/KRW
2002-12-01,EUR,USD,1.0192,달러,ECOS,EUR/USD
2002-12-01,JPY,KRW,991.85,원,ECOS,JPY/KRW
2002-12-01,USD,KRW,1208.91,원,ECOS,USD/KRW
2003-01-01,EUR,KRW,1251.13,원,ECOS,EUR/KRW
2003-01-01,EUR,USD,1.061,달러,ECOS,EUR/USD
2003-01-01,JPY,KRW,993.28,원,ECOS,JPY/KRW
2003-01-01,USD,KRW,1179.27,원,ECOS,USD/KRW
2003-02-01,EUR,KRW,1283.12,원,ECOS,EUR/KRW
2003-02-01,EUR,USD,1.0772,달러,ECOS,EUR/USD
2003-02-01,JPY,KRW,996.78,원,ECOS,JPY/KRW
2003-02-01,USD,KRW,1191.19,원,ECOS,USD/KRW
2003-03-01,EUR,KRW,1330.93,원,ECOS,EUR/KRW
2003-03-01,EUR,USD,1.0801,달러,ECOS,EUR/USD
2003-03-01,JPY,KRW,1038.54,원,ECOS,JPY/KRW
2003-03-01,USD,KRW,1232.4,원,ECOS,USD/KRW
2003-04-01,EUR,KRW,1338.83,원,ECOS,EUR/KRW
2003-04-01,EUR,USD,1.0861,달러,ECOS,EUR/USD
2003-04-01,JPY,KRW,1029.19,원,ECOS,JPY/KRW
2003-04-01,USD,KRW,1232.82,원,ECOS,USD/KRW
2003-05-01,EUR,KRW,1392.26,원,ECOS,EUR/KRW
2003-05-01,EUR,USD,1.1605,달러,ECOS,EUR/USD
2003-05-01,JPY,KRW,1023.33,원,ECOS,JPY/KRW
2003-05-01,USD,KRW,1199.78,원,ECOS,USD/KRW
2003-06-01,EUR,KRW,1393.28,원,ECOS,EUR/KRW
2003-06-01,EUR,USD,1.1669,달러,ECOS,EUR/USD
2003-06-01,JPY,KRW,1008.76,원,ECOS,JPY/KRW
2003-06-01,USD,KRW,1194.02,원,ECOS,USD/KRW
2003-07-01,EUR,KRW,1345.45,원,ECOS,EUR/KRW
2003-07-01,EUR,USD,1.1386,달러,ECOS,EUR/USD
2003-07-01,JPY,KRW,995.77,원,ECOS,JPY/KRW
2003-07-01,USD,KRW,1181.59,원,ECOS,USD/KRW
2003-08-01,EUR,KRW,1314.49,원,ECOS,EUR/KRW
2003-08-01,EUR,USD,1.1154,달러,ECOS,EUR/USD
2003-08-01,JPY,KRW,992.09,원,ECOS,JPY/KRW
2003-08-01,USD,KRW,1178.42,원,ECOS,USD/KRW
2003-09-01,EUR,KRW,1308.85,원,ECOS,EUR/KRW
2003-09-01,EUR,USD,1.1225,달러,ECOS,EUR/USD
