date,country,sector,indicator,commodity,value,unit,source,domain,file_source,yoy_change
2014-06-01,World,agriculture,Production,Wheat,732116.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,1.947274317256431
2015-06-01,World,agriculture,Production,Wheat,739036.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.9452054046080072
2016-06-01,World,agriculture,Production,Wheat,757269.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,2.4671328595629927
2017-06-01,World,agriculture,Production,Wheat,760308.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.40131049864711166
2018-06-01,World,agriculture,Production,Wheat,729893.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-4.000352488728254
2019-06-01,World,agriculture,Production,Wheat,759308.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,4.030042759692165
2020-06-01,World,agriculture,Production,Wheat,772759.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,1.7714814014866187
2021-06-01,World,agriculture,Production,Wheat,780747.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,1.0336987340166859
2022-06-01,World,agriculture,Production,Wheat,790403.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,1.2367642783129407
2023-06-01,World,agriculture,Production,Wheat,791953.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.1961024945502432
2024-06-01,World,agriculture,Production,Wheat,799915.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,1.005362691977929
2025-06-01,World,agriculture,Production,Wheat,808551.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,1.0796147090628372
