date,partner,Total Exports,Total Imports,trade_balance
2020-10-01,Thailand,617775.0,445658.0,172117.0
2020-10-01,United Arab Emirates,0.0,304404.0,-304404.0
2020-10-01,United States,6562209.0,4363458.0,2198751.0
2020-10-01,World,44818534.0,0.0,44818534.0
2020-11-01,Australia,584047.0,0.0,584047.0
2020-11-01,Canada,523281.0,0.0,523281.0
2020-11-01,China,12029854.0,10286167.0,1743687.0
2020-11-01,France,0.0,497964.0,-497964.0
2020-11-01,Germany,977415.0,0.0,977415.0
2020-11-01,India,0.0,375150.0,-375150.0
2020-11-01,Indonesia,611233.0,627890.0,-16657.0
2020-11-01,Italy,0.0,610203.0,-610203.0
2020-11-01,Malaysia,0.0,708691.0,-708691.0
2020-11-01,Philippines,619125.0,0.0,619125.0
2020-11-01,Russia,699100.0,0.0,699100.0
2020-11-01,Singapore,0.0,729465.0,-729465.0
2020-11-01,Thailand,700983.0,436479.0,264504.0
2020-11-01,United Arab Emirates,0.0,267529.0,-267529.0
2020-11-01,United States,6664272.0,4188104.0,2476168.0
2020-11-01,World,45751883.0,0.0,45751883.0
2020-12-01,Australia,610686.0,0.0,610686.0
2020-12-01,Canada,498458.0,0.0,498458.0
2020-12-01,China,12710301.0,10881895.0,1828406.0
2020-12-01,France,0.0,535418.0,-535418.0
2020-12-01,Germany,1123166.0,0.0,1123166.0
2020-12-01,India,0.0,413849.0,-413849.0
2020-12-01,Indonesia,860222.0,674552.0,185670.0
2020-12-01,Italy,0.0,659194.0,-659194.0
2020-12-01,Malaysia,0.0,941417.0,-941417.0
2020-12-01,Philippines,507869.0,0.0,507869.0
2020-12-01,Russia,757190.0,0.0,757190.0
2020-12-01,Singapore,0.0,769755.0,-769755.0
2020-12-01,Thailand,677268.0,481429.0,195839.0
2020-12-01,United Arab Emirates,0.0,469615.0,-469615.0
2020-12-01,United States,7157647.0,4910784.0,2246863.0
2020-12-01,World,51332449.0,0.0,51332449.0
2021-01-01,Australia,621425.0,0.0,621425.0
2021-01-01,Canada,514734.0,0.0,514734.0
2021-01-01,China,11787037.0,10763268.0,1023769.0
2021-01-01,France,0.0,465159.0,-465159.0
2021-01-01,Germany,1045344.0,0.0,1045344.0
2021-01-01,India,0.0,560709.0,-560709.0
2021-01-01,Indonesia,563977.0,724586.0,-160609.0
2021-01-01,Italy,0.0,590851.0,-590851.0
2021-01-01,Malaysia,0.0,715623.0,-715623.0
2021-01-01,Philippines,720600.0,0.0,720600.0
2021-01-01,Russia,666384.0,0.0,666384.0
2021-01-01,Singapore,0.0,1023343.0,-1023343.0
2021-01-01,Thailand,651387.0,455623.0,195764.0
2021-01-01,United Arab Emirates,0.0,453657.0,-453657.0
2021-01-01,United States,8412355.0,5018162.0,3394193.0
2021-01-01,World,48006974.0,0.0,48006974.0
2021-02-01,Australia,625420.0,0.0,625420.0
2021-02-01,Canada,572409.0,0.0,572409.0
2021-02-01,China,11208799.0,9021941.0,2186858.0
2021-02-01,France,0.0,450581.0,-450581.0
2021-02-01,Germany,1031447.0,0.0,1031447.0
2021-02-01,India,0.0,466759.0,-466759.0
2021-02-01,Indonesia,608588.0,746846.0,-138258.0
2021-02-01,Italy,0.0,567376.0,-567376.0
2021-02-01,Malaysia,0.0,784989.0,-784989.0
2021-02-01,Philippines,584816.0,0.0,584816.0
2021-02-01,Russia,665404.0,0.0,665404.0
2021-02-01,Singapore,0.0,762986.0,-762986.0
2021-02-01,Thailand,642186.0,495971.0,146215.0
2021-02-01,United Arab Emirates,0.0,666147.0,-666147.0
2021-02-01,United States,6396235.0,5761028.0,635207.0
2021-02-01,World,44706907.0,0.0,44706907.0
2021-03-01,Australia,725610.0,0.0,725610.0
2021-03-01,Canada,634644.0,0.0,634644.0
2021-03-01,China,13408119.0,10884575.0,2523544.0
2021-03-01,France,0.0,587406.0,-587406.0
2021-03-01,Germany,1165307.0,0.0,1165307.0
2021-03-01,India,0.0,633630.0,-633630.0
2021-03-01,Indonesia,695531.0,764719.0,-69188.0
2021-03-01,Italy,0.0,784347.0,-784347.0
2021-03-01,Malaysia,0.0,837988.0,-837988.0
2021-03-01,Philippines,654350.0,0.0,654350.0
2021-03-01,Russia,793111.0,0.0,793111.0
2021-03-01,Singapore,0.0,1018695.0,-1018695.0
2021-03-01,Thailand,851091.0,601984.0,249107.0
2021-03-01,United Arab Emirates,0.0,635202.0,-635202.0
2021-03-01,United States,7970756.0,6221033.0,1749723.0
2021-03-01,World,53690914.0,0.0,53690914.0
